comment,ip
真的很棒，一直反转反转，意想不到，剧情不拖拉。感谢先辈舍生忘死，才有咱们现在的生活,广东
"剧情不拖沓，反转真的很刺激啊啊啊
没有刻意的渲染爱国情绪，但是种种都显示这爱国
我们虽渺小，但不要忘记勇敢…",山东
剧情很好，故事整体很流畅，很完整，也有反转，演员演技也可以,安徽
跟着一民一起勇敢地走，这部电影从头到尾都在反转反转，看着很热血，演员也很好，每个人都演进去了，仿佛就是一百年前的人一样,广东
反转很多，很精彩，超级好看,广西
没有主角光环，反派有脑,广东
哪怕孤星悬挂 无风的日子也要自成东风 也会做好计划完成使命 山高路远只凭自己 星光微弱依然有光,重庆
虽然外国人都在质疑我们是否真的爱国，但有一种爱国精神是刻在骨子里的，他们永远都不会了解,黑龙江
王源非常棒演的很好 剧情反转的也很刺激 真的很不错期待演员歌手王源的强势归来也希望王源三巡有票拜托🙏🏻,上海
真的还不错   奔王源去的  但是抛开粉丝滤镜来说演技真的还不错  剧情反转 热血沸腾有泪点 真心推荐👍👍👍,四川
剧情可以，选角有问题，演不出感觉来,山东
讲述了上世纪最普通最平凡的一群少年，在时代的洪流中他们做出了各自的命运抉择，有携手同行，也有背道而驰，待他们再重逢时，却要去完成一项具有重大历史意义的、看似不可能完成的秘密任务。电影结合青春和谍战，兼顾智斗和武打,上海
"🌟 推荐
超级推荐 ，剧情跌宕起伏，计中计

😊 演技
所有人都演技在线
🌅 画面
很养眼",四川
很好看 王源宝宝好厉害🥰,浙江
很好看 演员演技都很好 看哭了 没有主角光环 超级推荐你们去看,湖南
特别好看 演技炸裂都是 一次又一次的反转 真的爱了,天津
​这部片在我意外之外的好看，也很多反转，在革命这条路上，一个“我”倒下还有下一个“我”扑上！,广东
王源演技真的太棒了 很值得的一部电影 很推荐,重庆
超好看的，反转又反转，一点也没有主角光环，那个年代的青春，真的每个人都值得被纪念。,无法获取
反转反转再反转 ！看得我超级热血 看到结局都觉得很沸腾 又觉得被那一代青年们深深感动震撼 年轻但志大！！很好看！！！,广东
我以为至少能活一个，但是一想历史好像没有主角，大家都是一束光,江西
"和女儿一起看的，觉得特别适合当代青年观影！
被里面的一帮青年先辈们感动到了！
遗憾的是最后李一民和大部分同学们都牺牲了！😢值得推荐！！！👍",江苏
超好看，李一民超好看,北京
一些伏笔真的很细节，演技都很有感染力，最后的走马灯真的很催泪,山东
太惊艳了 剧情有意思,无法获取
"已经二刷了
🌟 推荐",河南
好看好看，剧情反转反转再反转！,四川
年轻演员都比较出戏,四川
热血青春悬疑谍战剧，剧情紧凑，王源表演很棒,广东
剧情特别清晰剧情特别的紧凑，思路也特别好。推荐大家来看,广东
超级好看 剧情反转反转再反转 推荐00后都去看 演员也都很敬业 眼神再到一些微小的细节动作就能看出来 整剧流露真情 真的太好看了,浙江
非常好看真的，反转反转再反转，想不到王源演技挺好的，完全不出戏真的,湖北
剧情反转再反转 以为就这样结束了但是结果很让人意想不到 喜欢这种题材的真的可以冲！,广东
真的很好看，不带任何的偏见,江苏
真的真的很好看 悬疑加反转 演员们的演技也都很好 太有代入感了,山东
真的好看只得去看,广西
好看好看！年少有为不自卑！,河北
超级棒，我不是粉丝，真的只是路人，很棒，看完我都哭了，我没想到一个主业是歌手的王源可以演的这么好，每一个人都演技都在线，刷抖音发现好多情节被删了，感觉很可惜,江苏
"🌟 推荐
就是有很多的反转，让人意想不到，全员智商也都挺在线的，国家情怀真的特别感人，一部热血热泪的好电影，值得去看！",浙江
讲述了上世纪最普通最平凡的一群少年，在时代的洪流中他们做出了各自的命运抉择，有携手同行，也有背道而驰，待他们再重逢时，却要去完成一项具有重大历史意义的、看似不可能完成的秘密任务。电影结合青春和谍战，兼顾烧脑智斗和武打,浙江
超好看！！！,云南
超级好看!!,广东
尬燃啊，剧情幼稚，没有逻辑，主角演的根本不像角色，就像本人而已,福建
"很好看 王源的演技有很大的进步 这是一个很突破自己的一个角色
🌟 推荐",广东
王源的演技太厉害了，本来是去试试看的心态，结果真的很惊艳，剧情时刻都在牵动人心，意犹未尽,内蒙古
特别好看!大家快去看!,宁夏
特别特别好看，超级多想不到的反转，结局完全没想到好吧，一整个爆哭，特别是后面的回忆杀😭😭😭😭😭😭真的很好看啊，希望大家都去看，但总感觉电影热度不太大,广东
全程紧张高能，抓着朋友的手心都在出汗，看完出来还在讨论 通缉令上的照片像不像本人,广东
可以，对象让我来评分，实话演技确实好,河南
为了共同的目标去奋斗,江西
真的很好看 ，剧情真的就是不把观众当傻子 看的我起鸡皮疙瘩！！！推荐推荐  王源演技也超棒！！！,湖南
太好看了！每一处转折都意想不到！！！,福建
好看，故事精彩有反转,湖南
桐油商会，我没有亲人了，同学就是我的亲人,河南
很热血 是在很困的时候去看的影片，但是影片反转再反转，让我清醒了哈哈 值得去看推荐！主演王源的演技也有很大提高 期待他的更多作品！,无法获取
超级好看 巨多反转,陕西
"非常喜欢王源的李一民哇，感觉他的眼睛里有星星⭐️
电影剧情紧凑，反转也很多，看时完全被吸引住了，蛮惊喜的。
最后一民开着车撞上码头的那个特写镜头超级无敌感动！！！望着他的眼睛就好像望到了千千万万为了同样伟大目标而闪烁的孤星们🌟，期待王源以后更多更棒的作品❤️",湖北
很好看，王源和李晨演的,浙江
很好看 真的很热血🥹🥹🥹,广东
个人觉得不太好看,浙江
"趁年轻勇敢一次吧！我是电影上映第二天去看的，真的真的真的超级超级超级推荐，王源真的很棒，演的很棒，我想说，一民你真的很勇敢，印证了电影主题曲《别丢了你的勇敢》，看完真的很感动很感慨，也很羡慕一民，因为我现实生活中就是一个很不勇敢的人，电影反转又反转，悬疑气氛拉满，好多年前上海滩的一个真实事件很好的演绎出来了，非常值得看的一部热血悬疑电影
🌟 推荐

🌟 推荐

😊 演技

🎉闪光点

🎉闪光点",广东
超级好看 爆哭 剧情也很好 演员演的也不错推荐去看,河南
真的超级棒！！！特别精彩 从头看到尾的一部谍战片,海南
剧情反转反转再反转，真的看的跌宕起伏的，太棒了！演员演技也在线,广东
超级好看 本身期待就很高 没有辜负呀,北京
剧情很多反转，就连片头的出现方式都很与众不同，前半部分少年的友谊很让人动容，后半开始有很多细节很多反正，主角没有主角光环，反派也没有强行降智，看到最后所有疑问都得到了解答，结局出乎意料但仔细想想又在意料之中，很不错的一部影片，细节伏笔都埋的非常不错，很值得观看的一部影片。,上海
剧情反转意想不到，演员演技在线🤩,河北
