comment,ip
"     第一部很可惜没有去电影院在线上看完的，很多人都说主角建模奇怪，让人很不适应。其实在中国也有这样的人在，我家也有。这就是中国长相、中国长相在每一个中国人脸上，这有什么不自信。
     在今天我看完了雄狮少年2，它给我的惊喜太多太多了，比第一部实在好的太多，我无法想象它能一位雄狮少年的成长来讲中国武术，一路披荆斩棘。它不想传统主角光环一路杀到底，电影发展每一招有理有据。电影中其实有着很多现实方面的映射，当时看的时候鸡皮疙瘩都起来了，当时在想这也可以拍出来嘛。
     在电影中间部分我看的很“心惊”，我特别怕它后面的发展会跟传统中国电影一样“强制结局”，可是它并没有，它给我带来一次又一次的惊喜：剧情、质感、打戏。
      非常值得在电影院再看一次！！！",江西
没想到2比1要精彩那么多！,广东
很好看，这张电影票钱花得值，感觉比第一部还好看，结局很治愈。,广东
再接再力好看，加油,广东
真的胖很好看,福建
挺好看的，值得推荐！,无法获取
太好看了，国漫崛起！！,江苏
美术一如既往地很强，这一部剧情也进步了，我给满分💯,云南
电影很不错，值得一看,浙江
武打片吗？好看吗？,上海
剧情节奏感很强，励志故事，很喜欢！,广西
"非常好看
You点搞笑，You点难",浙江
"很棒的一部电影，导演和制作团队了不起啊，坚持初心。
也看到阿娟从第一部到现在的成长👍期待第三部了",广西
超好看！！！千万不要被网上的流言蜚语骗了！阿娟帅炸了！国漫终于有好编剧了，剧情流畅，各种点和镜头也设计的很好，总体高燃！强烈推荐！,湖南
"今天晚上看了一部非常好看的电影《雄狮少年2》，为此，我写下了人生中的第一篇长长的影评，为什么我强烈推荐这部片呢？

推荐理由:
默默无闻的小草只能是宰割甚至践踏吗？（小草也会比天高  它比任何植物的韧性更都要强）
人人都看到的事情就真的是真相吗？普通的我们被网暴就只能是默默的承受这些莫须有的罪名吗？（眼见为实在这个科学进步的时代里也有可能是假象，请勿随便给你认识又或者是不认识的人冠上罪名 ）
为什么都在推崇西方格斗技术，中国人传统武术怎么就觉得上不了台面呢（不一味去推崇西方文化 中国的传统文化需要更多的人去支持 去推崇 去传承 ）

阿娟:普通的舞狮少年-拳击场上的战士
我虽然是棵不起眼的小草，但总有一天也会活成雄狮。
最后，我想和阿娟说:你的每一声怒吼都将会得到回答！
致敬每一个无名却努力生活的人
仰天大笑出门去，我辈岂是蓬蒿人

近年国漫最佳 今年影片最佳 不强行煽情 不强行结尾  这部好片值得大家去观看！

我作为一个普通的观影人，看完影片只觉得它是个闪闪发光宝物，不想一个人知道，只是想让更多人去发现它，支持它，欣赏它，喜爱它！

我的内心os:真的是超级无敌爆炸好看！",海南
我勒个，太燃了啊啊啊啊第一部就后悔没去电影院看了现在看了第二部也算是弥补我的一个遗憾了,云南
非常好看，剧情，制作，音效，都特别棒,吉林
前几年看完第一部就很期待第二部的上映、依旧很燃、依然很感动、一定要二刷,天津
中国传统武术到底能不能打！看见这个话题又被拿出来简直鸡皮疙瘩都起来了！不谈这部电影一骑绝尘的剧本呈现和扎实的画面塑造，单单就导演愿意把格斗竞技和传统武术的魅力再度呈现在大屏幕上，还是这么用心的程度，我真的看的超开心的——！！！,广东
真心好看，中间和结尾两个超燃时刻,安徽
推荐。诚意之作，激励国人,上海
歌曲都非常好听，rap也很好听，㊗️雄狮少年2票房大卖！期待雄狮少年3！之后又看了少年1，2的歌曲比1的好多了，希望以后雄狮少年越做越好！,辽宁
挺好看，制作很细节,广东
对于电影，首部在很好看的前提下，第二部是很难超越的，第二部比首部好看的电影少之又少，雄狮少年2做到了！其实我并没有抱有很大期望去看这部续集，只是雄狮少年1给我留下了很好的印象，但真没想到雄狮少年2出乎意料的好看，带着两个女儿一起走进影院，出来时都觉得第一部就很好看，第二部更好看！又燃又帅，真觉得中国的动画电影终于破茧而出了！不久的将来，中国的动画电影一定会在国际上大放异彩！,陕西
真的很好看、故事也很真实但也很现实、生活就是这样、有苦有甜！,北京
真的超级推荐去看，很好的一个故事，这么久了，第一次因为一部电影而心中悸动,江西
"超级好看
剧情：紧凑不拖拉，逻辑没问题，不算老套
画面：分不清现实了
不看人物就像真人一样，细节特多
🌅 画面棒

😭 哭点有

😂 笑点有",辽宁
很好看！建模美术真的很牛,天津
我就为了一个购票好评，又刷了一遍。好看，特别好看。,北京
非常好看的电影，真的值得一看！ 第一部我男朋友看了四五遍  然后推给身边的人，身边的朋友没有一个去拿人物形象说事的。而且身边大部分朋友很多还是搞美术这行的  都觉得人物做的好  ，可惜第一部没有去电影院看  ，第二部绝不会错过  希望能出第三部☺️,四川
好看，真的值得，全场观众放完片尾张韶涵无名的人那首歌才离开，很好看的电影,湖南
"🌟 推荐确实不错我的妈，中国电影已经到达新的高度了

😊 演技无敌

🌅 画面节奏起伏情绪调动都非常到位

🎉闪光点10颗🌟

📚 剧本好本子

✨观影贴士全程无尿点，别迟到",新疆
"😊 演技
好
🌅 画面
国漫数一数二",江西
近些年最好的动画电影,云南
画质和剧情都中规中矩，可以去看看,福建
燃爆全场，非常励志喊人,北京
电影《雄狮少年2》中在大城市立足的艰辛，被网暴后承受无数谩骂、瞬间毁掉的绝望感，完全把人的情感卷入其中，感同身受，不自觉地就泪流不止。最唏嘘还是那段对网暴的描写：资本的构陷，一段拼接剪辑的“爆料”，营销号矩阵铺天盖地的打压，不明就里的人跟风围剿，轻易就可将一名清白少年置于百口莫辩的境地，抹杀他的努力，斩断他的前路，掐灭他头顶的星火。这确实是我们时代的故事，过于映照当下的现实，让人有诸多联想。这个世界有时候并不公平，感谢还有这些理想主义者。,湖北
少年梦，看的热血沸腾,云南
剧情非常燃，一定要去影院支持，准备二刷去了,四川
雄狮一样骄傲的团队，才能做出这么有骨气的作品！网暴那一段就是对“***”舆论的最佳回应。,江苏
真的很棒，我甚至愿意相信这是一部中国动画电影里程碑式的一部作品！,云南
真的很好看支持国漫,浙江
雄狮少年真是超出了我的预期，真的太好看啦！！！对国产动画刮目相看，看的特别振奋人心，好热血的电影，是我今年看的电影里数一数二的好电影，主人公坚持不懈的努力精神值得我们学习，让人内心深处感到震撼，坚持不懈就是胜利！值得大家去看的好电影，准备再把第一部看一下！！非常好看～,安徽
"很多人虽然是中国人，但实际上只是国人，有着“国”情，却没有“中”心
这是一部出色的作品，与网络上所普遍传播不同的是，这部电影反而是近几年来少数具有民族特色、文化内涵和民众关怀的优秀中国作品。导演是一位真正的辩证法家，能够不拘泥一种简单后殖民主义意识形态，我不觉得这是冒犯，我认为这是真正的反抗，得大体，才能真正拘小节，这才是一个“中国”人真正该有的气节和胸怀。",江苏
武打动作很流畅，剧情老套,内蒙古
准备二刷三刷,上海
"很好看！超级燃，心目中最好的国产动画电影🎬
会推荐给身边的朋友们",四川
燃！燃！燃！年度最佳！周日孩子带孩子的孩子看了，雄狮少年2，回来说好看真好看，我还想，虽然我爱看电影🎬，但快七十岁的人还要不要去看动画片呢？今天想到儿子儿媳都是资深影迷，审美在线，就去看了，嚯！真是看着了！必须推荐，强力推荐大家合家走进影院，这片子故事情节意料之外情理之中，音乐说唱扣人心弦，不敢剧透但想二刷，完全感觉不到在看动画片，不套路不煽情，你就是会被感动没有尿点，为国产动画片叫好点赞！,北京
比第一部强太多，这才是拍给成年人看的动画。这电影的打戏，放在影史也属上乘之作。,北京
"这是一部有点儿“狗尾续貂”的意思！本来前作无论立意，画风，等都属于上乘之作，第二部无论故事设计还是叙事都显得莫名其妙😵‍💫尤其全片的人物行动跟醒狮毫无关系，还一群广东小伙儿跑去上海当民工😂，广东省内也有很贫穷的地方，但，舞狮的人有没有到离乡背井讨生活的地步（主要🈯️离开广东）这就显得编剧导演缺乏生活，或者生搬硬套！
志向穷小子勇登高桩，是雄狮少年的大主题，第一部的结尾也很好奇去上海怎么发展？！
因为上海的醒狮文化不普及，所以故事情节设计就走进“死胡同”！若是去“槟城”打世界赛，然后在异国他乡跟华人文化发生碰撞就不一样了…",广东
好看，挺燃的,广东
有人说第一部起点太高了。不过第二部更高，更精致的画面，更丰富的剧情，更跌宕起伏的故事线，更感人的情节，更让人不想离去的吸引力。,陕西
雄狮少年二延续了第一部的剧情，阿娟从一个舞狮少年变成了拥有舞狮功底的拳击手，打破了原有的叙事期待，在退赛陷入谷底后绝地反击，最终清者自清。在比赛分镜和调度上，结合了不同国家的拳术特点，且加入不同意象间的联想，做到了拳拳有力且清新脱俗。在人物塑造上，阿娟坚韧纯朴，剪了短发后多了些清爽帅气，肌肉分明拳拳有肉！美术画面都是国产一流水平！,河南
十分推荐看、,广东
电影里的话怎么说的来着？把作品交给时间 清者自清 看到快结尾的时候 以为就是一路打上冠军就结束 但是没想到给了我这么大的惊喜 依旧不俗套的故事 想看的人不要在乎舆论 相信作品的真实评价,辽宁
"🌟 生于野草 活成雄狮
不要被网上的负面信息带节奏，人得有自己的眼睛，去看 去欣赏 去感受
第二部和第一步各有特点。
细节之处这一部插曲中的音乐很燃 ，没有其他人那样觉得说毁了动漫。
好的东西不一定每个人都适合
不适合的人，不过少知道一部好电影而已。",贵州
好看，从第一部开始追。符合期待，照第一部笑果弱一点。,广东
非常好看的电影,四川
最后华彩片段虚实结合的浪漫主义手法非常赞！从舞狮到打拳，从木棉花到白玉兰，一样的燃情热血！,广东
剧情紧凑，没有任何拖泥带水，牵动人心，看完很感动,安徽
完美，非常燃,山西
小人物逆袭的故事，仿佛看到了当年的星爷，加油阿娟！,四川
2024我看过的电影中最好看的。爽了,湖北
好久没看到这么燃的电影了！！！“生于野草，活成雄狮”很真实，看到越后面越燃，真的太好看了。,广东
很感动很震撼,福建
剧情还可以，挺热血的，就是建模有点丑，不太适合对这方面要求比较高的人看,河南
不用多问  真的精彩 剧情很现实,上海
跟第一部相比各有各的优点……真的很喜欢这部电影啊……加油加油,上海
加油，你我皆是雄狮少年,四川
靠北哦！太棒了！,江苏
音效特别棒，三年一点都没有白等,辽宁
无与伦比，近年来的国漫最佳,江苏
第一部，因为大家都说眼睛的问题没有去看 是在手机上看的，当时我就觉得我去那么好的电影 我为什么没去电影院看 第二部我来了 果然没让我失望还是超级好,河南
《雄狮少年2》燃炸了！！！他们的团队真的好厉害，保留了舞狮精神的传统内核，开辟了新的故事。动作戏和画面感很好，非常值得去电影院观看，很震撼，也很励志。,广东
好看比第一部还好看,河北
"剧情还可以，依然有泪有笑。
画面炸裂，技术绝对世界一流。
不错，点赞。",广东
#电影雄狮少年2#传统格斗与现代格斗之争，好燃好感动，配乐也好好听！,安徽
超级热血，周六带着孩子们提前复习了第一集，重温了第一集温情励志的剧情和激动人心的配乐，才去看第二集，三年过去了，阿娟长大了，帅气逼人，沉稳内敛，果断坚强，真希望我儿子以后也能成为阿娟那种有担当，有拼劲的男子汉,四川
超级好看，推荐,上海
最强国漫，再接再厉。,辽宁
依旧那么优秀，励志，激情,山东
不会三部曲都是超高分吧？期待第三部,上海
励志，青春，动作设计挺有看头，还有点小感动，不要问我人物好不好看，这种无聊的问题没有意义，审美的事因人而异，但要上升到意识形态，就是你片看得少。无他。,广东
超级好看！！！！！！动作做的很好啊，剧情也好,湖北
影片中的反派角色塑造还是让我印象深刻。😈 这位反派角色自身也是从小人物一步步奋斗上来的，却在取得成功之后对小人物进行打压，甚至为了自己的利益不惜毁掉小人物的人生。这种屠龙者变身恶龙的剧情虽然老套，但其中散发的恶意依然让人不寒而栗。,广东
必须满分，太好看了,广东
很热血 适合全家看，更适合缺乏自信心的人独自品味,湖北
影片一开场，阿娟为了赚钱给父亲治病，毅然决然地代表没落的传武拳馆参加“上海格斗之夜”武术比赛。这剧情设定，简直就是现实版的《洛奇》，让人不禁为阿娟的坚韧和毅力点赞。💪 影片中的每一个打斗场面都让人热血沸腾，特别是阿娟练拳之初的那些有趣糗事，更是让人忍俊不禁。张瓦特开的“大生意”夜宵摊从无人问津到生意火爆，这种反差设计也让人眼前一亮。,广东
很好看，本来不感兴趣的，正好有时间闲着无聊就去了，国漫还是有希望的👍🏻👍🏻👍🏻,安徽
推荐推荐推荐，游戏行业值得看,四川
励志电影，也是被骗走了几滴眼泪，雄狮少年爆改拳王，总体上还是很商业，就是很莫名其妙的燃，命运太跌宕，在外漂泊的人真的很想哭😭最萌的还是甲亢巴西泰拳佬哈哈哈哈哈哈,江西
很感人，也很励志，非常推荐,云南
片子很不错，适合一家人一起观赏。音乐也特别燃，很衬主题。,贵州
好看死了！没看的都给我去看！,重庆
"刚看完，很喜欢，非常真实，真实到我感到无奈无力却又无可奈何只有一声叹息。最后一段反转很精彩，是我想半天没有想到的点。
	
等到最后没有彩蛋，我估计2就是最终篇，当然如果有3我也会继续支持。
	
舞狮并不常见，在春节和一些特定场合才能看到（不算网络），我希望无论南狮北狮都能继续发扬光大。",广东
"雄狮少年对我来说不单单是一部电影。
阿娟更像是世界上的另外一个我
第一次在电影院看到阿娟的时候，还和他一样，是一只病猫，头顶着西瓜皮被人嘲笑。但他告诉我，人可以有梦，心中可以有鼓点，病猫也可以变成雄狮。
看到第二季抽条褪去青涩的阿娟阿猫和阿狗。我的眼泪止不住的淌。真好。原来他们也长大了。
阿娟，这三年，我也弯着腰，留下了一路湿透的脚印。我同你一样越过了自己人生的擎天柱。心中也响起了你一样的鼓点。再苦再难我也没有放弃过。
这三年我反反复复的看你，只是心境都大不相同。终于，我用三年走完了你的路。我从小城的职高考到了首都的一本。
我坐在北京电影院里看你在上海打工的画面，一时间有点感慨。阿娟，你看，我也追上了你的脚步呢。
他们嘲笑你是运气，赢只是恰巧。我却偷偷反驳他，我知道你一定会赢的。你付出的比他们想的要多太多，你这一路的苦 一路的血和泪。我都懂。
谢谢你们给大家带来了这么好的作品。希望阿娟阿猫阿狗都能越来越好！雄狮少年也能越来越好！",北京
太牛了 2024国漫最佳！没有之一！镜头语言非常精妙，废话不多，动作戏也不含糊，一招一式非常扎实！能看出制作团队花费了很多精力研究传统武术，为他们鼓掌👏总而言之，强烈推荐！,上海
"剧情特别好，上次在影院看过1，虽然看之前有些疑惑，舞狮转到武术是否偏离了主旨，但观影过程毫无违和感。

同样的传统文化，同样被世人淡忘，同样面临传承问题，加以现实生活的真实与变幻莫测，让人格外沉浸其中。

打戏拳拳到肉，比赛过程引人入胜，暗藏惊喜。观赏性堪比MMA。这让曾经浅浅学过自由搏击，散打，泰拳，柔术，咏春，并确实觉得武术只是花架子的我，重新思考过去的认知。想要重新在实践了解中国传统武术的实用之处。

特别是使用了上海作为根据地，让曾在上海工作两年多的我，格外怀念与沉浸，那一口地道的上海话，豫园的节日氛围，恍如昨日。

说唱环节的加入就像是画龙点睛，说出了当下很多人的心酸无奈，让我不禁想要在结束后了解说唱厂牌

可以称之为今年我最喜欢的国产电影，国漫崛起!",青海
"从30岁+背井离乡打拼人的角度看，在这里面从我的角度看到了很多东西。
谁不曾少年啊，看第一步时插曲纸飞机和毛不易的-无名的人，已经直接听哭了。
第二部相比第一步更为升华，你我皆是草根，很多无奈和无法改变的现状。",广东
